,0,1,2,J SC (mA/cm2),V OC (V),FF (%),PCE (%)
24_0_0,"(v/v,%)",,,(mAcm−2),(V),(%),(%)
24_0_1,w/o,,,5.8 (5.6),0.99,43.7,2.5 (2.4)
24_0_2,1,,,6.0 (5.9),0.96,58.0,3.3 (3.2)
24_0_3,3,,,10.3 (9.8),0.96,76.7,7.6 (7.4)
24_0_4,3,,,10.9 (10.5),0.96,76.7,8.1 (7.9)
24_0_5,3,,,11.0 (10.4),0.96,74.9,7.9 (7.8)
24_0_6,3,,,11.2 (11.2),0.95,72.5,7.7 (7.5)
24_0_7,5,,,10.4 (9.9),0.96,74.6,7.4 (7.3)
24_1_0,(V),,,(%),(mAcm−2),(%),(nm)
24_1_1,w/o,,,9.3 (8.9),1.01,62.1,5.8 (5.7)
24_1_2,1,,,13.2 (12.3),1.02,67.2,9.1 (9.0)
24_1_3,1.5,,,14.1 (14.0),1.01,72.3,10.3 (10.1)
24_1_4,2,,,13.5 (13.2),1.01,61.1,8.4 (8.3)
25_2_0,PDTfBO-T,,,,,1 × 106 ,
25_2_1,PDTfBO-DT,,,,,1 × 106 ,
25_2_2,PDTfBO-TT,,,,,1 × 105 ,
25_3_0,PDTfBO-T,,,7.13,0.91,74.5,4.83 (4.78)
25_3_1,PDTfBO-DT,,,4.69,0.92,66.1,2.85 (2.82)
25_3_2,PDTfBO-TT,,,7.63,0.88,75.4,5.07 (4.97)
25_3_3,PDTfBO-T,,,11.1,0.93,54.3,5.63 (5.56)
25_3_4,PDTfBO-DT,,,10.3,0.89,61.0,5.61 (5.49)
25_3_5,PDTfBO-TT,,,9.69,0.87,66.4,5.60 (5.35)
26_1_0,poly(DPP-alt-BP),,,,,106 ,
26_1_1,200 °C,,,,,−3.75,
26_1_2,poly(DPP-alt-BT),,,,,106 ,
26_1_3,200 °C,,,,,3.68,
26_1_4,poly(DPP4T-alt-TBP),,,,,105 ,
26_1_5,200 °C,,,,,1.87,
26_2_0,poly(DPP-alt-BP),,,7.25,0.75,36.2,1.97
26_2_1,poly(DPP-alt-BT),,,9.83,0.63,52.0,3.21
26_2_2,poly(DPP4T-alt-TBP),,,10.08,0.71,63.3,4.54
27_1_0,PBDT-DTQ,,,9.89,0.70,49.70,3.50
27_1_1,PBDT-DTQ,,,10.37,0.67,55.47,3.84
27_1_2,PIDT-DTQ,,,11.24,0.83,61.55,5.77
27_1_3,PIDT-DTQ,,,11.42,0.86,65.77,6.41
28_1_0, P8 ,,,13.13,0.72,58.1,5.48
28_1_1, P8 ,,,12.39,0.73,59.4,5.40
28_1_2, P8 ,,,10.63,0.72,57.3,4.46
28_1_3, P8 ,,,15.26,0.74,58.1,6.58
28_1_4, P8 ,,,14.76,0.73,62.1,6.73
28_1_5, P8 ,,,11.33,0.76,66.2,5.67
28_1_6, P9 ,,,4.46,0.75,47.6,1.58
28_1_7, P9 ,,,4.62,0.74,55.6,1.89
28_1_8, P9 ,,,4.71,0.73,57.9,2.00
28_1_9, P9 ,,,13.34,0.74,64.1,6.36
